Trade Balance(1000$),China,US,Japan,Vietnam,India,Russia,SaudiArabia,UAE,Qatar,Total
2000.01,227050,392763,-805509,81895,52839,-62325,-748216,-145078,-126400,-432198
2000.02,438827,312790,-911246,91505,82316,-74880,-662459,-191343,-160429,652390
2000.03,312029,339441,-1152135,124391,58390,-71713,-675218,-234547,-106339,217692
2000.04,334514,127872,-1232187,141913,8886,-81450,-611873,-197884,-172621,177508
2000.05,596630,532939,-956602,139920,23858,-99159,-602939,-110824,-155429,1353399
2000.06,553340,732723,-1049848,127969,35098,-110483,-611307,-110861,-173608,2073428
2000.07,552356,831566,-1039204,112727,-4933,-125227,-881802,-222093,-72702,783780
2000.08,584056,613941,-1017161,95123,4453,-125761,-503829,-232414,-138389,1345741
2000.09,513136,1095324,-716491,100527,20838,-167442,-748358,-243912,-242596,1841577
2000.1,466795,942363,-896703,98153,11675,-114332,-854410,-380060,-253309,1143855
2000.11,550758,1006054,-806099,118520,12922,-132459,-823066,-292768,-252874,828650
2000.12,526322,1441226,-778743,130939,35119,-104906,-655621,-349272,-237270,1800670
2001.01,239320,467788,-493091,70272,100953,-115622,-737420,-268951,-260302,213906
2001.02,639278,379092,-808637,108520,8123,-57300,-782350,-231597,-314176,621816
2001.03,466022,746349,-891677,131128,12738,-41495,-476263,-274410,-278148,1173005
2001.04,499765,636039,-874341,116528,-23498,-24424,-549308,-168285,-180632,908918
2001.05,498117,711239,-620251,129887,5817,-51278,-657798,-184380,-152167,1752125
2001.06,532688,852571,-811835,133302,80909,-70727,-588340,-307536,-255920,1212975
2001.07,438516,595165,-912034,103414,32000,-121844,-458262,-189846,-135078,284693
2001.08,339083,851390,-948390,96831,28609,-143521,-568593,-145682,-115230,428366
2001.09,349131,1145713,-944770,105263,36201,-142569,-549215,-322278,-109614,737665
2001.1,270039,837868,-1046607,96945,20602,-52050,-570908,-135261,-141282,579144
2001.11,273443,987851,-921573,127030,6488,-84244,-463945,-108509,-190212,816196
2001.12,342112,623506,-854400,126764,-6846,-86242,-381091,-127152,-217930,612514
2002.01,241207,719797,-828133,90071,-20156,-34256,-475592,-148378,-205316,55450
2002.02,241857,706325,-919411,86906,214,-75962,-412826,-180209,-214049,551875
2002.03,472865,923536,-1117349,130902,-46891,-77495,-403437,-117544,-178843,1261226
2002.04,404507,743642,-1229936,162685,-16534,-53691,-512580,-71990,-126880,624838
2002.05,530483,854481,-1081217,245191,-11730,-57584,-516867,-96575,-153748,1475075
2002.06,557820,485829,-1305806,165494,34936,-72874,-529778,-132311,-99976,959867
2002.07,577330,495505,-1345604,130282,27101,-203474,-553663,-114242,-105481,363406
2002.08,490765,830133,-1299599,127682,3437,-122421,-567158,-49867,-190914,1098359
2002.09,552773,866704,-1328022,119950,20802,-115249,-643393,-230364,-185075,909207
2002.1,744037,1135376,-1373983,167892,18238,-90874,-550612,-208271,-179360,1267597
2002.11,668798,1121286,-1414228,174546,49295,-118044,-536071,-290259,-214958,1203131
2002.12,871366,889136,-1469757,168278,76519,-129805,-590104,-301387,-170056,574343
2003.01,622944,550973,-1130982,118283,62812,-133087,-835542,-305391,-264121,-175036
2003.02,982092,336657,-1689719,131707,194003,-46184,-618103,-393299,-220232,-521129
2003.03,884385,584743,-1674021,213811,118442,-74288,-798297,-404995,-224369,-491367
2003.04,732380,678770,-1615791,212512,125190,-52954,-633799,-329753,-232883,961845
2003.05,772507,648494,-1279745,194205,74368,-68030,-612329,-304534,-163304,1152450
2003.06,947167,601555,-1441915,187496,104665,-35903,-481729,-133766,-164741,2228186
2003.07,1098365,476187,-1673342,154404,119056,-55697,-670611,-405267,-187840,533711
2003.08,1318249,754247,-1526770,123388,203592,-76860,-598477,-254277,-244286,1833909
2003.09,1380102,1132887,-1647023,146920,121124,-98343,-484275,-411008,-231223,2489639
2003.1,1396115,1193461,-1886597,187710,107891,-121472,-544906,-221212,-289178,2393037
2003.11,1447376,1185969,-1471444,177783,174422,-60613,-792118,-171758,-302649,2481338
2003.12,1618906,1261094,-1999587,202315,214642,-39232,-788562,-213668,-257930,2104203
2004.01,1262052,723756,-1738874,116185,98840,-77536,-639190,-275863,-314539,2778241
2004.02,1874013,914557,-2043721,176177,117993,-80965,-785955,-321914,-308398,1668403
2004.03,1677438,1081559,-2242095,219301,111237,-112908,-659045,-281653,-343186,2054777
2004.04,1659507,1270911,-2229158,236330,75234,-107137,-791264,-239978,-237057,2653405
2004.05,1870330,1157000,-1704201,236605,140437,-129793,-750253,-238066,-236379,2938875
2004.06,1744321,1567439,-2225504,187002,147504,-114975,-821593,-498443,-187545,3112761
2004.07,2063795,1244550,-2282836,184823,113343,-134460,-813629,-242057,-261280,2613703
2004.08,1625539,897908,-1957130,157793,146855,-105779,-918890,-440937,-169673,1674604
2004.09,1691604,1209064,-1954176,263990,200622,-166905,-963369,-283589,-284387,2637786
2004.1,1676029,1324469,-2145181,262257,218012,-67963,-920498,-726854,-244718,2255073
2004.11,1520866,1495597,-1840800,259902,276870,-114942,-974132,-603033,-436674,2764647
2004.12,1512807,1179978,-2079450,281909,135049,-118764,-1053621,-550750,-399903,2229709
2005.01,1427670,876801,-1795279,203292,227629,-57497,-734183,-230976,-421523,3004023
2005.02,1643031,485819,-1954072,192503,140641,-29131,-989177,-452145,-420479,2004188
2005.03,1782054,1175369,-2205407,248976,198978,-142007,-1078982,-843021,-451117,1172634
2005.04,1567058,986747,-2240983,263788,214101,-40486,-1154782,-382693,-349590,1628014
2005.05,1666750,648343,-1677426,225037,154314,-47405,-1068786,-684350,-421511,1960925
2005.06,2192977,650912,-2072475,303312,170668,168094,-873376,-475338,-244643,2418979
2005.07,2246742,703311,-1968051,235971,268216,42556,-1131137,-504854,-384530,1726698
2005.08,2210969,607048,-2059610,181795,218446,120389,-1309533,-747926,-452970,1342138
2005.09,2351452,1178509,-2240984,247405,228099,23841,-1273691,-753806,-426779,1800534
2005.1,2142649,1143192,-2190076,195075,191067,618,-1506055,-598508,-539084,2700013
2005.11,1939312,1372049,-2065810,241513,249976,-38451,-1382130,-788427,-437290,1976641
2005.12,2096130,928648,-1905573,198943,223626,-72975,-1510812,-823544,-528469,1445691
2006.01,1321267,710348,-1491860,174771,242719,6329,-1372428,-731394,-610885,168562
2006.02,1752947,560949,-2059459,158884,193333,-77624,-1371534,-790187,-705276,279176
2006.03,1653474,874691,-2485165,250787,237180,21302,-1319993,-755096,-450843,895139
2006.04,1604941,751480,-2309802,239287,59212,-61119,-1426337,-781744,-374691,1104303
2006.05,1802103,770746,-2028527,307380,256717,440940,-1481147,-941896,-669602,1724141
2006.06,2006846,1066454,-2207369,281631,203893,298359,-1495932,-839349,-412038,1925341
2006.07,1873828,778831,-2218826,224008,244418,-69883,-1850376,-1057637,-238299,224635
2006.08,2008802,499041,-1976739,344159,135535,-57411,-1932043,-927682,-418013,257733
2006.09,1681172,777730,-2176993,276156,146465,1628,-1523227,-881163,-605534,2014603
2006.1,1718588,393549,-2154272,210025,74540,46742,-1305118,-761951,-504178,2394196
2006.11,1737409,1239510,-2014352,259667,54909,104928,-1167355,-753782,-465073,3837198
