Institute,From,CATI,ARS,Cord,Cordless,Response Rate,Date,Month,Day,President-Good,President-Bad,Theminjoo,PPP,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,15.90 ,4/1/23,4,1,33.20 ,62.70 ,43.60 ,32.10 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.50 ,4/1/23,4,1,37.50 ,62.20 ,51.60 ,38.40 ,
KOPRA,고성국TV,0,1,0.00 ,100.00 ,1.90 ,4/2/23,4,2,37.00 ,60.00 ,37.00 ,39.00 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.20 ,4/3/23,4,3,36.74 ,61.62 ,47.10 ,37.10 ,
알앤써치,뉴스핌,0,1,0.00 ,100.00 ,2.30 ,4/3/23,4,3,37.50 ,59.60 ,45.80 ,38.40 ,
조원씨앤아이,시사저널,0,1,0.00 ,100.00 ,3.10 ,4/4/23,4,4,36.90 ,61.40 ,44.00 ,37.70 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.00 ,4/5/23,4,5,33.60 ,63.40 ,48.00 ,35.50 ,
리서치뷰,리서치뷰,0,1,0.00 ,100.00 ,3.90 ,4/6/23,4,6,38.00 ,59.00 ,48.00 ,38.00 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,6.70 ,4/7/23,4,7,31.00 ,61.00 ,33.00 ,32.00 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.10 ,4/10/23,4,10,36.38 ,60.98 ,45.90 ,37.00 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,16.70 ,4/10/23,4,10,33.80 ,63.20 ,43.70 ,32.00 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.00 ,4/10/23,4,10,32.80 ,66.30 ,52.20 ,34.60 ,
넥스트리서치,SBS,1,0,12.00 ,88.00 ,16.10 ,4/10/23,4,10,30.10 ,60.90 ,30.80 ,28.00 ,
에브리씨앤알,폴리뉴스/에브리뉴스,0,1,0.00 ,100.00 ,7.10 ,4/11/23,4,11,32.40 ,62.90 ,48.30 ,33.60 ,
국민리서치그룹,뉴시스,0,1,0.00 ,100.00 ,1.20 ,4/12/23,4,12,35.90 ,62.40 ,39.00 ,36.20 ,
조원씨앤아이,스트레이트뉴스,0,1,0.00 ,100.00 ,2.90 ,4/12/23,4,12,35.20 ,63.30 ,47.10 ,35.80 ,
알앤써치,뉴스핌,0,1,0.00 ,100.00 ,2.10 ,4/12/23,4,12,38.80 ,57.40 ,46.90 ,37.00 ,
여론조사공정,데일리안,0,1,0.00 ,100.00 ,2.80 ,4/13/23,4,13,36.70 ,61.60 ,40.60 ,39.40 ,
코리아리서치인터내셔널,엠브레인퍼블릭/케이스탯리서치/코리아리서치인터내셔널/한국리서치,1,0,0.00 ,100.00 ,20.40 ,4/13/23,4,13,34.00 ,57.00 ,28.00 ,33.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.30 ,4/14/23,4,14,31.00 ,66.60 ,49.60 ,33.30 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,8.20 ,4/14/23,4,14,27.00 ,65.00 ,36.00 ,31.00 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.10 ,4/17/23,4,17,33.56 ,63.50 ,48.80 ,33.90 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,16.80 ,4/17/23,4,17,31.30 ,65.50 ,42.30 ,31.90 ,
