Institute,From,CATI,ARS,Cord,Cordless,Response Rate,Date,Month,Day,President-Good,President-Bad,Theminjoo,PPP,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,15.40 ,6/5/23,6,5,37.30 ,57.60 ,41.00 ,34.10 ,
여론조사공정,데일리안,0,1,0.00 ,100.00 ,3.00 ,6/1/23,6,1,42.50 ,55.30 ,35.40 ,41.70 ,
리서치뷰,리서치뷰,0,1,0.00 ,100.00 ,4.20 ,6/1/23,6,1,36.00 ,59.00 ,44.00 ,34.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.40 ,6/2/23,6,2,35.30 ,61.20 ,45.20 ,35.10 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,10.40 ,6/2/23,6,2,35.00 ,57.00 ,32.00 ,35.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,2.10 ,6/4/23,6,4,38.50 ,58.20 ,46.30 ,35.50 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.10 ,6/5/23,6,5,39.82 ,57.39 ,43.70 ,39.40 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,17.10 ,6/5/23,6,5,35.10 ,62.30 ,43.60 ,32.90 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,2.40 ,6/5/23,6,5,37.90 ,61.20 ,52.20 ,36.60 ,
KOPRA,고성국TV,0,1,0.00 ,100.00 ,1.80 ,6/4/23,6,4,41.00 ,56.00 ,37.00 ,40.00 ,
메트릭스,연합뉴스,1,0,0.00 ,100.00 ,20.50 ,6/7/23,6,7,36.30 ,58.50 ,35.00 ,34.10 ,
에이스리서치,뉴시스,0,1,0.00 ,100.00 ,1.30 ,6/7/23,6,7,40.40 ,57.70 ,37.70 ,37.60 ,
조원씨앤아이,스트레이트뉴스,0,1,0.00 ,100.00 ,2.90 ,6/7/23,6,7,39.30 ,58.80 ,44.00 ,36.90 ,
코리아리서치인터내셔널,엠브레인퍼블릭/케이스탯리서치/코리아리서치인터내셔널/한국리서치,1,0,0.00 ,100.00 ,21.40 ,6/8/23,6,8,35.00 ,55.00 ,26.00 ,31.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,2.70 ,6/9/23,6,9,35.00 ,63.20 ,47.60 ,32.80 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,2.10 ,6/11/23,6,11,41.90 ,55.80 ,45.20 ,39.40 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,2.90 ,6/12/23,6,12,38.27 ,59.03 ,44.20 ,36.80 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,15.90 ,6/12/23,6,12,35.40 ,60.80 ,41.50 ,29.40 ,
