Institute,From,CATI,ARS,Cord,Cordless,Response Rate,Date,Month,Day,President-Good,President-Bad,Theminjoo,PPP,
여론조사공정,데일리안,0,1,0,100,2.70 ,3/2/23,3,2,44.00 ,53.60 ,35.40 ,47.50 ,
리서치뷰,리서치뷰,0,1,0,100,4.30 ,3/1/23,3,1,41.00 ,56.00 ,41.00 ,43.00 ,
한국리서치,"엠브레인퍼블릭, 케이스탯리서치, 코리아리서치인터내셔널, 한국리서치",1,0,0,100,16.20 ,3/2/23,3,2,37.00 ,51.00 ,27.00 ,39.00 ,
미디어토마토,뉴스토마토,0,1,0,100,3.70 ,3/3/23,3,3,40.20 ,57.10 ,44.00 ,43.20 ,
한국갤럽,한국갤럽,1,0,5,95,9.40 ,3/3/23,3,3,36.00 ,55.00 ,29.00 ,39.00 ,
리얼미터,미디어트리뷴,0,1,3,97,3.10 ,3/6/23,3,6,42.87 ,53.24 ,40.70 ,44.30 ,
여론조사꽃,여론조사꽃,1,0,0,100,17.60 ,3/6/23,3,6,31.50 ,62.70 ,35.70 ,29.90 ,
여론조사꽃,여론조사꽃,0,1,0,100,3.10 ,3/6/23,3,6,39.90 ,58.40 ,46.70 ,40.70 ,
엠브레인퍼블릭,뉴스원,1,0,0,100,14.80 ,3/6/23,3,6,35.70 ,58.10 ,36.90 ,37.00 ,
알앤써치,뉴스핌,0,1,0,100,2.50 ,3/7/23,3,7,40.60 ,57.00 ,35.40 ,42.80 ,
한국리서치,KBS,1,0,0,100,19.60 ,3/8/23,3,8,40.40 ,55.90 ,33.30 ,36.70 ,
리얼미터,MBN/매일경제신문,0,1,5,95,2.60 ,3/8/23,3,8,37.70 ,49.80 ,40.20 ,40.20 ,
글로벌리서치,JTBC,1,0,0,100,10.30 ,3/9/23,3,9,41.90 ,54.80 ,30.50 ,38.10 ,
미디어토마토,뉴스토마토,0,1,0,100,3.50 ,3/10/23,3,10,38.30 ,60.60 ,41.40 ,42.70 ,
한국갤럽,한국갤럽,1,0,5,95,9.50 ,3/10/23,3,10,34.00 ,58.00 ,32.00 ,38.00 ,
리얼미터,미디어트리뷴,0,1,3,97,3.40 ,3/13/23,3,13,38.84 ,58.89 ,42.60 ,41.50 ,
여론조사꽃,여론조사꽃,1,0,0,100,16.80 ,3/13/23,3,13,33.30 ,63.20 ,42.30 ,33.50 ,
여론조사꽃,여론조사꽃,0,1,0,100,3.40 ,3/13/23,3,13,37.60 ,61.20 ,47.00 ,39.70 ,
조원씨앤아이,스트레이트뉴스,0,1,0,100,3.00 ,3/15/23,3,15,39.60 ,58.90 ,45.60 ,38.30 ,
국민리서치그룹,뉴시스,0,1,0,100,1.30 ,3/15/23,3,15,41.40 ,56.90 ,35.60 ,39.70 ,
알앤써치,뉴스핌,0,1,0,100,2.30 ,3/15/23,3,15,36.10 ,61.50 ,47.70 ,38.00 ,
여론조사공정,데일리안,0,1,0,100,2.80 ,3/16/23,3,16,39.90 ,57.20 ,37.40 ,41.40 ,
엠브레인퍼블릭,"엠브레인퍼블릭, 케이스탯리서치, 코리아리서치인터내셔널, 한국리서치",1,0,0,100,17.40 ,3/16/23,3,16,35.00 ,57.00 ,30.00 ,34.00 ,
미디어토마토,뉴스토마토,0,1,0,100,3.10 ,3/17/23,3,17,34.50 ,63.30 ,45.40 ,39.00 ,
한국갤럽,한국갤럽,1,0,5,95,9.00 ,3/17/23,3,17,33.00 ,60.00 ,33.00 ,34.00 ,
리얼미터,미디어트리뷴,0,1,3,97,3.20 ,3/20/23,3,20,36.85 ,60.44 ,46.40 ,37.00 ,
여론조사꽃,여론조사꽃,1,0,0,100,16.40 ,3/20/23,3,20,33.30 ,63.70 ,44.20 ,35.00 ,
여론조사꽃,여론조사꽃,0,1,0,100,3.00 ,3/20/23,3,20,35.40 ,63.80 ,51.50 ,37.10 ,
조원씨앤아이,스트레이트뉴스,0,1,0,100,3.00 ,3/22/23,3,22,36.60 ,62.10 ,45.70 ,36.30 ,
알앤써치,뉴스핌,0,1,0,100,2.80 ,3/22/23,3,22,37.10 ,59.00 ,45.30 ,38.70 ,
미디어토마토,뉴스토마토,0,1,0,100,3.50 ,3/24/23,3,24,33.50 ,64.60 ,48.80 ,34.60 ,
한국갤럽,한국갤럽,1,0,5,95,8.40 ,3/24/23,3,24,34.00 ,58.00 ,35.00 ,34.00 ,
리얼미터,미디어트리뷴,0,1,3,97,3.30 ,3/27/23,3,27,35.95 ,61.21 ,45.40 ,37.90 ,
여론조사꽃,여론조사꽃,1,0,0,100,15.50 ,3/27/23,3,27,33.30 ,63.50 ,42.50 ,32.50 ,
여론조사꽃,여론조사꽃,0,1,0,100,3.50 ,3/27/23,3,27,35.70 ,63.70 ,55.00 ,36.40 ,
조원씨앤아이,스트레이트뉴스,0,1,0,100,3.00 ,3/29/23,3,29,39.80 ,58.20 ,44.80 ,37.60 ,
에이스리서치,뉴시스,0,1,0,100,1.50 ,3/29/23,3,29,39.40 ,58.80 ,41.10 ,36.00 ,
알앤써치,뉴스핌,0,1,0,100,2.30 ,3/29/23,3,29,37.80 ,59.30 ,47.10 ,35.90 ,
여론조사공정,데일리안,0,1,0,100,2.90 ,3/30/23,3,30,43.10 ,55.40 ,37.30 ,46.10 ,
케이스탯리서치,"엠브레인퍼블릭, 케이스탯리서치, 코리아리서치인터내셔널, 한국리서치",1,0,0,100,18.70 ,3/30/23,3,30,33.00 ,60.00 ,31.00 ,34.00 ,
미디어토마토,뉴스토마토,0,1,0,100,3.10 ,3/31/23,3,31,36.20 ,61.90 ,47.30 ,37.40 ,
