Institute,From,CATI,ARS,Cord,Cordless,Response Rate,Date,Month,Day,President-Good,President-Bad,Theminjoo,PPP,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.20 ,5/1/23,5,1,34.54 ,62.66 ,44.70 ,35.20 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,17.50 ,5/1/23,5,1,31.40 ,65.10 ,41.80 ,30.80 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.40 ,5/1/23,5,1,37.80 ,61.50 ,50.90 ,39.40 ,
KOPRA,고성국TV,0,1,0.00 ,100.00 ,2.90 ,5/1/23,5,1,41.00 ,56.00 ,34.00 ,41.00 ,
리서치뷰,리서치뷰,0,1,0.00 ,100.00 ,4.20 ,5/3/23,5,3,35.00 ,62.00 ,45.00 ,36.00 ,
글로벌리서치,한겨레,1,0,0.00 ,100.00 ,9.10 ,5/3/23,5,3,36.10 ,59.30 ,32.70 ,34.00 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.00 ,5/8/23,5,8,34.64 ,62.50 ,45.50 ,34.90 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,9.20 ,5/5/23,5,5,33.00 ,57.00 ,32.00 ,35.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,1.60 ,5/7/23,5,7,38.50 ,58.70 ,46.50 ,36.50 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,17.20 ,5/8/23,5,8,31.40 ,65.40 ,43.20 ,29.50 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.50 ,5/8/23,5,8,35.50 ,63.80 ,52.70 ,36.90 ,
리얼미터,이데일리/앰엔앰(M&M)전략연구소,0,1,3.00 ,97.00 ,3.00 ,5/9/23,5,9,39.36 ,57.64 ,43.20 ,38.90 ,
알앤써치,아시아투데이,0,1,0.00 ,100.00 ,2.00 ,5/9/23,5,9,37.00 ,60.20 ,45.80 ,36.50 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.20 ,5/9/23,5,9,32.60 ,64.40 ,49.10 ,31.10 ,
글로벌리서치,JTBC,1,0,0.00 ,100.00 ,10.60 ,5/10/23,5,10,37.70 ,58.20 ,29.00 ,35.80 ,
메트릭스,연합뉴스/연합뉴스TV,1,0,0.00 ,100.00 ,18.00 ,5/9/23,5,9,37.50 ,60.00 ,30.20 ,36.60 ,
코리아리서치인터내셔널,MBC,1,0,0.00 ,100.00 ,12.30 ,5/9/23,5,9,36.10 ,59.50 ,32.60 ,36.70 ,
한국갤럽,중앙일보,1,0,0.00 ,100.00 ,11.90 ,5/10/23,5,10,38.50 ,57.60 ,33.80 ,35.70 ,
한국리서치,한국일보,1,0,0.00 ,100.00 ,14.70 ,5/9/23,5,9,34.70 ,59.70 ,33.30 ,33.40 ,
조원씨앤아이,스트레이트뉴스,0,1,0.00 ,100.00 ,3.00 ,5/10/23,5,10,38.10 ,60.40 ,44.40 ,36.80 ,
한국리서치,KBS,1,0,0.00 ,100.00 ,17.40 ,5/9/23,5,9,39.10 ,55.50 ,32.00 ,35.90 ,
국민리서치그룹,뉴시스,0,1,0.00 ,100.00 ,1.30 ,5/10/23,5,10,42.10 ,55.40 ,30.60 ,39.40 ,
넥스트리서치,MBN,1,0,10.00 ,90.00 ,14.10 ,5/10/23,5,10,39.80 ,54.80 ,23.90 ,30.10 ,
엠브레인퍼블릭,"엠브레인퍼블릭, 케이스탯리서치, 코리아리서치인터내셔널, 한국리서치",1,0,0.00 ,100.00 ,16.00 ,5/11/23,5,11,36.00 ,55.00 ,29.00 ,32.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.10 ,5/12/23,5,12,35.40 ,62.80 ,46.10 ,35.20 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,11.00 ,5/12/23,5,12,35.00 ,59.00 ,32.00 ,35.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,2.30 ,5/14/23,5,14,39.20 ,58.00 ,46.10 ,36.60 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.00 ,5/15/23,5,15,36.76 ,60.81 ,47.00 ,36.30 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,17.80 ,5/15/23,5,15,35.10 ,62.20 ,41.00 ,32.30 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.20 ,5/15/23,5,15,39.00 ,60.50 ,49.40 ,39.90 ,
에이스리서치,뉴시스,0,1,0.00 ,100.00 ,1.50 ,5/17/23,5,17,42.90 ,56.40 ,34.60 ,39.90 ,
여론조사공정,데일리안,0,1,0.00 ,100.00 ,2.90 ,5/18/23,5,18,41.70 ,55.90 ,36.70 ,42.20 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.10 ,5/19/23,5,19,36.40 ,61.40 ,46.70 ,36.90 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,10.90 ,5/19/23,5,19,37.00 ,56.00 ,33.00 ,32.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,1.70 ,5/21/23,5,21,41.50 ,54.90 ,42.20 ,39.90 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.20 ,5/22/23,5,22,39.02 ,57.91 ,42.40 ,38.50 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,17.20 ,5/22/23,5,22,34.90 ,61.90 ,43.10 ,29.90 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,2.50 ,5/22/23,5,22,35.60 ,63.80 ,54.40 ,36.10 ,
국민리서치그룹,뉴시스,0,1,0.00 ,100.00 ,1.40 ,5/24/23,5,24,42.20 ,56.50 ,37.40 ,38.70 ,
조원씨앤아이,스트레이트뉴스,0,1,0.00 ,100.00 ,2.80 ,5/24/23,5,24,41.20 ,57.20 ,44.20 ,37.90 ,
케이스탯리서치,"엠브레인퍼블릭, 케이스탯리서치, 코리아리서치인터내셔널, 한국리서치",1,0,0.00 ,100.00 ,18.50 ,5/25/23,5,25,36.00 ,56.00 ,27.00 ,34.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.00 ,5/26/23,5,26,36.40 ,60.00 ,45.20 ,35.20 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,9.80 ,5/26/23,5,26,36.00 ,55.00 ,31.00 ,36.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,1.70 ,5/28/23,5,28,44.70 ,53.20 ,43.30 ,41.60 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,2.90 ,5/29/23,5,29,39.98 ,56.75 ,44.50 ,38.10 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,15.50 ,5/29/23,5,29,31.70 ,64.60 ,41.70 ,29.90 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,2.60 ,5/29/23,5,29,42.30 ,56.70 ,49.00 ,40.00 ,
Average,Average,0.40 ,0.60 ,1.02 ,98.98 ,7.32 ,5/31/23,5,31,37.39 ,59.14 ,40.08 ,35.96 ,
