Rank,Country,Proven_reserves,Production ,Consumption ,Exports ,Imports 
1,Venezuela,2.9835E+11,3023000,571000,2452000,0
2,Saudi Arabia,2.679E+11,9684700,2817000,6880000,0
3,Canada,1.731E+11,3324300,2259000,1576000,770300
4,Iran,1.546E+11,3113300,1709000,2445000,15600
5,Iraq,1.414E+11,3054400,818000,2390000,0
6,Kuwait,1.04E+11,2650000,339000,1395000,0
7,United Arab Emirates,97800000000,2820000,572100,2142000,0
8,Russia,80000000000,10053800,3196000,4720000,16380
9,Libya,48010000000,918300,314000,1378000,0
10,Nigeria,37200000000,2367400,271600,2341000,0
11,Kazakhstan,30000000000,1572900,244200,1406000,119600
12,Qatar,25380000000,1553000,189700,1389000,0
13,United States,20680000000,7443400,18840000,41640,9213000
14,China,17300000000,4164100,9790000,33000,5664000
15,Brazil,13150000000,2023900,2594000,619100,343600
16,Algeria,12200000000,1461800,316400,1097000,6400
17,Angola,10470000000,1830700,79430,1928000,0
18,Mexico,10260000000,2561900,2133000,1460000,0
19,Ecuador,8240000000,526100,280000,413000,154000
20,Azerbaijan,7000000000,870600,168000,821000,0
21,Oman,5500000000,939900,98000,705100,0
22,India,5476000000,772100,3292000,0,3272000
23,Norway,5366000000,1529900,255200,1602000,11320
24,Egypt,4400000000,514400,816300,85000,48740
25,Vietnam,4400000000,335500,259900,188000,0
26,Indonesia,4030000000,825200,1322000,338100,388400
27,Malaysia,4000000000,515700,542900,269000,160500
28,South Sudan,3750000000,220000,,291800,0
29,United Kingdom,3122000000,801300,1217000,637800,1053000
30,Yemen,3000000000,129200,177000,175200,0
31,Argentina,2805000000,539800,678100,90920,0
32,Syria,2500000000,58000,258800,152400,0
33,Uganda,2500000000,0,16930,0,0
34,Colombia,2200000000,1003200,287000,777900,10
35,Gabon,2000000000,243200,15800,225300,0
36,Republic of the Congo,1600000000,265500,10710,290000,0
37,Chad,1500000000,97900,1817,125700,0
38,Australia,1433000000,332400,1023000,314100,475900
39,Sudan,1250000000,28830,95450,97270,0
40,Brunei,1100000000,122000,14640,147900,0
41,Equatorial Guinea,1100000000,269800,1588,319100,0
